1,Reduced bifurcated function,10
2,Reactive local customer loyalty,10
3,De-engineered transitional internet solution,8
4,Profound incremental budgetary management,5
5,Quality-focused 6th generation groupware,4
6,Devolved content-based internet solution,7
7,Synchronised eco-centric product,9
8,User-centric even-keeled Graphical User Interface,8
9,Switchable eco-centric matrix,10
10,Universal neutral matrices,8
11,Streamlined grid-enabled data-warehouse,3
12,Multi-channelled fault-tolerant help-desk,2
13,Ergonomic bifurcated ability,10
14,Stand-alone attitude-oriented infrastructure,5
15,Devolved tangible paradigm,7
16,Programmable leading edge open system,9
17,Exclusive neutral customer loyalty,8
18,Exclusive cohesive support,5
19,Reverse-engineered context-sensitive definition,10
20,Focused scalable parallelism,4
